Company,KBLI,Kelas 1,Kelas 2,Kelas 3,Kelas 4
BANDUNG PAKAR,Not Found,,,,
BANGUN BERKAT JAYA LESTARI,22299,INDUSTRI PENGOLAHAN,INDUSTRI KARET,INDUSTRI BARANG DARI PLASTIK,INDUSTRI BARANG DARI PLASTIK LAINNYA
BANGUN PRESTASI BERSAMA,Not Found,,,,
BANGUN RASAGUNA LESTARI,10590,INDUSTRI PENGOLAHAN,INDUSTRI MAKANAN,INDUSTRI PENGOLAHAN SUSU,INDUSTRI PENGOLAHAN PRODUK DARI SUSU LAINNYA
BANGUNJAYA MITRA SEJAHTERA,Not Found,,,,
BANK BTPN SYARIAH TBK,Not Found,,,,
BANK JABAR BANTEN SYARIAH,Not Found,,,,
BANK JABAR BANTEN SYARIAH KCP LEMBANG,Not Found,,,,
BANK JABAR GARUT,Not Found,,,,
BANK MULTIARTA SENTOSA,Not Found,,,,
BANK PERKREDITAN RAKYAT BRINGIN DANA SEJAHTERA,Not Found,,,,
BANK PERKREDITAN RAKYAT KARYA KURNIAUTAMA,Not Found,,,,
BANK PERKREDITAN RAKYAT KREDIT MANDIRI INDONESIA,Not Found,,,,
BANK PERKREDITAN RAKYAT NATA CITRAPERDANA,Not Found,,,,
BANK PERKREDITAN RAKYAT PANJAWAN MITRA USAHA,Not Found,,,,
BANK PERKREDITAN RAKYAT SIRAYA KARYA BAKTI,Not Found,,,,
BANK PERKREDITAN RAKYAT TUTUR GANDA,Not Found,,,,
BANK PERKREDITAN RAKYAT VARIA CENTRALARTHA,Not Found,,,,
BANK RAKYAT INDONESIA ( PERSERO ) TBK,Not Found,,,,
BANK RAKYAT INDONESIA (PERSERO ) TBK,Not Found,,,,
BANK RAKYAT INDONESIA (PERSERO) TBK,Not Found,,,,
BANK SYARIAH INDONESIA,Not Found,,,,
BANK TABUNGAN PENSIUNAN NASIONAL SYARIAH TBK,Not Found,,,,
BANYU ENERGI TEKNINDO,Not Found,,,,
BARA TRANS PERKASA,Not Found,,,,
BAROKAH SEJAHTERA TEKNIK,Not Found,,,,
BATTLEXS ANUGERAH ABADI,14111,INDUSTRI PENGOLAHAN,INDUSTRI PAKAIAN JADI,INDUSTRI PAKAIAN JADI DAN PERLENGKAPANNYA,INDUSTRI PAKAIAN JADI (BUKAN PENJAHITAN DAN PEMBUATAN PAKAIAN)
BAYU BUANA GEMILANG,Not Found,,,,
BAYU SINERGI,Not Found,,,,
BCH INTERNATIONAL,10750,INDUSTRI PENGOLAHAN,INDUSTRI MAKANAN,INDUSTRI MAKANAN LAINNYA,INDUSTRI MAKANAN DAN MASAKAN OLAHAN
BELA ANUGERAH ESA,14111,INDUSTRI PENGOLAHAN,INDUSTRI PAKAIAN JADI,INDUSTRI PAKAIAN JADI DAN PERLENGKAPANNYA,INDUSTRI PAKAIAN JADI (BUKAN PENJAHITAN DAN PEMBUATAN PAKAIAN)
BELA PARAHIYANGAN INVESTINDO,Not Found,,,,
BELAPUTERA INTILAND,Not Found,,,,
BENEFITA INDONESIA,Not Found,,,,
BENTARA KARYA MULIA,Not Found,,,,
BEA SEJAHTERA BERSAMA,Not Found,,,,
BERDIKARI INDO SUPER GROSIR,Not Found,,,,
BERKAH DUA PILAR,Not Found,,,,
BERKAT ANUGERAH MULIA,Not Found,,,,
BERKAT BUNDA MELIMPAH,Not Found,,,,
