Company,KBLI,Kelas 1,Kelas 2,Kelas 3,Kelas 4
JAYAMAS DWI PERKASA,11051,INDUSTRI PENGOLAHAN,INDUSTRI MINUMAN,INDUSTRI MINUMAN,INDUSTRI AIR KEMASAN DAN AIR MINUM ISI ULANG
JAYAWIJAYA PUTRA MANDIRI,Not Found,,,,
JEMBAR MUKTI SEDAYA,Not Found,,,,
JIMODA,25920,INDUSTRI PENGOLAHAN,INDUSTRI BARANG LOGAM,INDUSTRI BARANG LOGAM LAINNYA DAN JASA PEMBUATAN BARANG LOGAM,JASA INDUSTRI UNTUK BERBAGAI PENGERJAAN KHUSUS LOGAM DAN BARANG DARI LOGAM
JKS KASIH SAYANG,Not Found,,,,
JODAMU EXCHANGE,Not Found,,,,
JOHAR MITRA UTAMA,33122,INDUSTRI PENGOLAHAN,REPARASI DAN PEMASANGAN MESIN DAN PERALATAN,REPARASI PRODUK LOGAM PABRIKASI,REPARASI MESIN
JULIARTHA JAYA PRATAMA,Not Found,,,,
JUSINDO SUMBERPRAKARSA,14111,INDUSTRI PENGOLAHAN,INDUSTRI PAKAIAN JADI,INDUSTRI PAKAIAN JADI DAN PERLENGKAPANNYA,INDUSTRI PAKAIAN JADI (BUKAN PENJAHITAN DAN PEMBUATAN PAKAIAN)
KAMAJAYA TRI LAKSANA,Not Found,,,,
KAO INDONESIA,17091,INDUSTRI PENGOLAHAN,INDUSTRI KERTAS DAN BARANG DARI KERTAS,INDUSTRI KERTAS DAN BARANG DARI KERTAS,INDUSTRI BARANG DARI KERTAS DAN PAPAN KERTAS LAINNYA
KARABHA DIGDAYA,Not Found,,,,
KARSA YASA CIA CONSULT,Not Found,,,,
KARTIKA FOOD INDUSTRY,10710,INDUSTRI PENGOLAHAN,INDUSTRI MAKANAN,INDUSTRI MAKANAN LAINNYA,INDUSTRI PRODUK ROTI DAN KUE
KARYA ASRI MANDIRI,Not Found,,,,
KARYA BHAKTI PRATIWI,Not Found,,,,
KARYA MITRA SERAYA,31001,INDUSTRI PENGOLAHAN,INDUSTRI FURNITUR,INDUSTRI FURNITUR,INDUSTRI FURNITUR
KARYA PERDANA TRANSPORTAMA,Not Found,,,,
KARYAMITRA LESTARI KEMASEJAHTERA,17022,INDUSTRI PENGOLAHAN,INDUSTRI KERTAS DAN BARANG DARI KERTAS,INDUSTRI KERTAS DAN BARANG DARI KERTAS,INDUSTRI KERTAS DAN PAPAN KERTAS BERGELOMBANG DAN WADAH DARI KERTAS DAN PAPAN KERTAS
KEMILAU ABADI SEJAHTERA,Not Found,,,,
KIANDA PRATAMA ENERGY,Not Found,,,,
KILAT WAHANA JENGGALA,27900,INDUSTRI PENGOLAHAN,INDUSTRI PERALATAN LISTRIK,INDUSTRI PERALATAN LISTRIK LAINNYA,INDUSTRI PERALATAN LISTRIK LAINNYA
KIM TECHNOLOGY SOLUTIONS,Not Found,,,,
KIMIA FARMA APOTEK,Not Found,,,,
KIMIA JAYA UTAMA,Not Found,,,,
KOPO JAYA MANUNGGAL,Not Found,,,,
KREASI INDUSTRI TRAY,Not Found,,,,
KREASI INTINUSA MANDIRI,Not Found,,,,
KREASI JAFA MEDIA,Not Found,,,,
KREASI MANDIRI PERKASA,Not Found,,,,
KREASI PRIMA NUSANTARA,Not Found,,,,
KUNCI SUKSES ABADI,Not Found,,,,
KURNIA CIPINANG JAYA,Not Found,,,,
KURNIA MAJU JAYA,Not Found,,,,
KUSUMA TANJUNG PERSADA,Not Found,,,,
KUSUMA WIJAYA INFINITI,Not Found,,,,
KUSUMASEJATI INTIPRIMA,Not Found,,,,
KWARTA MEGA PERSADA,Not Found,,,,
LAJU LINGKAR SEJATI,Not Found,,,,
LAJU MEGAH MANUNGGAL,Not Found,,,,
LAJU SAKTI JAYA,Not Found,,,,
LAM JAGAR NATIO,Not Found,,,,
LAMPURA TEKNIK MANDIRI,Not Found,,,,
LANCAR LANGGENG REKATAMA,Not Found,,,,
LANCAR SAKTI LUBRINDO,Not Found,,,,
LEGALIA SUKSES MANDIRI,Not Found,,,,
LEGNO TROPICALINDO,Not Found,,,,
LESTARI MAHAPUTRA BUANA,32901,INDUSTRI PENGOLAHAN,INDUSTRI PENGOLAHAN LAINNYA,INDUSTRI PENGOLAHAN LAINNYA YTDL,INDUSTRI PENGOLAHAN LAINNYA YTDL
LIMA BERKAT SEJAHTERA,Not Found,,,,
LIMAS EXPRESS EXECUTIVE,Not Found,,,,
LINGGA MEKAR ENGINEERING,Not Found,,,,
LINTAS CAKRA CIA,Not Found,,,,
LINTAS DATA TRANS,Not Found,,,,
LINTAS JAYA RAYA,Not Found,,,,
LINTAS NUSANTARA PERDANA,Not Found,,,,
LISTRIK SARANA JABAR,Not Found,,,,
LKM AKHLAKUL KARIMAH,Not Found,,,,
LOGAM JAYA ABADI,,,,,
LORRO SAE ABADI,Not Found,,,,
LUCKY PERDANA MULTIMEDIA,Not Found,,,,
LULU LERE AISA,Not Found,,,,
LUMINO ALUMUNIUM BANGUN KONTRUKSI,Not Found,,,,
LUSINDONAULI PUTRA MANDIRI,Not Found,,,,
MAJU JAYA SUKSES ABADI,Not Found,,,,
MAKMUR SEJAHTERA CIAKREASI,Not Found,,,,
MANDIRI CIA PERKASA UTAMA,Not Found,,,,
MANDIRI CIA SEJAHTERA,Not Found,,,,
MANDIRI MAHA DAYA,Not Found,,,,
MANDIRI MEDIKA FARMA,Not Found,,,,
MANEKINDO MULTI KREASI,23959,INDUSTRI PENGOLAHAN,INDUSTRI BARANG GALIAN BUKAN LOGAM,INDUSTRI BARANG GALIAN BUKAN LOGAM LAINNYA,INDUSTRI BARANG DARI SEMEN
MANEUNGTEUNG ANUGERAH MANDIRI,22299,INDUSTRI PENGOLAHAN,INDUSTRI KARET,INDUSTRI BARANG DARI PLASTIK,INDUSTRI BARANG DARI PLASTIK LAINNYA
MANGGALA DUTA,Not Found,,,,
MANUNGGAL SUMBER DAYA,Not Found,,,,
MARDIZU SEJAHTERA,Not Found,,,,
MARGA NUSANTARA JAYA,Not Found,,,,
MARKAINDO SELARAS,Not Found,,,,
MARKONI MANDIRIPERKASA,Not Found,,,,
MASKITANI JEMBAR LESTARI,Not Found,,,,
MATA ELANG STRATEGIC,Not Found,,,,
MATA PELANGI CHEMINDO,20116,INDUSTRI PENGOLAHAN,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA,INDUSTRI BAHAN KIMIA,INDUSTRI KIMIA DASAR
MAX KREASI INDONESIA,Not Found,,,,
MECHANISTORE SUKSES BERSAMA,Not Found,,,,
MEDIA LINTAS DATA,Not Found,,,,
MEGA BANGUNAN INDAH,Not Found,,,,
MEGA DUNIA KONSTRUKSINDO,Not Found,,,,
MEGA KAPUAS DINAMIK,Not Found,,,,
MEGA OCEAN JAYA,Not Found,,,,
MEGA UTAMA MEDICA,Not Found,,,,
MEGA VIRIYA INDONESIA,Not Found,,,,
MEGAH KAYU INDUSTRI,,,,,
MEGAH TATA SERUNI,Not Found,,,,
MEGATEKNIK UTAMA MANDIRI,Not Found,,,,
MEI INDITHYA TALENTA,Not Found,,,,
MEKAR AGUNG SEJAHTERA,Not Found,,,,
MEKATRINDO TIRTA ABADI,Not Found,,,,
MENARA GADING MULIA,Not Found,,,,
MERAPI MAJU MAKMUR,Not Found,,,,
METAGUNA INNOVA,Not Found,,,,
METRINDO,26210,INDUSTRI PENGOLAHAN,INDUSTRI KOMPUTER,INDUSTRI KOMPUTER DAN PERLENGKAPANNYA,INDUSTRI KOMPUTER DAN/ATAU PERAKITAN KOMPUTER
METRO NIAGA HUTAMA,Not Found,,,,
METROPOLITAN CITY CENTER,Not Found,,,,
MILLENNIUM PHARMACON INTERNATIONAL TBK,Not Found,,,,
MINOFA MULTI SUKSES,Not Found,,,,
MITRA ANGKASA RAYA,Not Found,,,,
MITRA BISNIS KELUARGA VENTURA,Not Found,,,,
MITRA CHEMINDO UTAMA,,,,,
MITRA HANDAL SEJAHTERA,Not Found,,,,
MITRA INDUSTRI JAYA,Not Found,,,,
MITRA JARINGAN GLOBAL,Not Found,,,,
MITRA MANDALA SEMESTA PUSAKA,Not Found,,,,
MITRA PINASTHIKA MUSTIKA,,,,,
MITRA PINASTHIKA MUSTIKA RENT,,,,,
MITRA SUKSES PLASINDO,38302,TREATMENT AIR,PENGUMPULAN,PEMULIHAN MATERIAL,PEMULIHAN MATERIAL
MODERNLAND REALTY TBK,Not Found,,,,
MORSOL GARINA MANDIRI,Not Found,,,,
MOUNT SCOPUS INDONESIA,10710,INDUSTRI PENGOLAHAN,INDUSTRI MAKANAN,INDUSTRI MAKANAN LAINNYA,INDUSTRI PRODUK ROTI DAN KUE
MSTC ANUGERAH SEJATI,Not Found,,,,
MUARA KARYA NUSANTARA,Not Found,,,,
MUARA SAKTI UTAMA,26511,INDUSTRI PENGOLAHAN,INDUSTRI KOMPUTER,INDUSTRI ALAT UKUR,INDUSTRI ALAT UKUR
MUDA JAYA ABADI,Not Found,,,,
MUFIDAH MEDIKA SAWANGAN,Not Found,,,,
MUKTI UTAMA LESTARI,Not Found,,,,
MULIATIARA EKSTRA PRESTASI,Not Found,,,,
MULTI ADHI PERKASA,Not Found,,,,
MULTI ADIRA PLASINDO,22220,INDUSTRI PENGOLAHAN,INDUSTRI KARET,INDUSTRI BARANG DARI PLASTIK,INDUSTRI BARANG DARI PLASTIK UNTUK PENGEMASAN
MULTI MITRA LOGISTIK,Not Found,,,,
MULTI SANDANG TAMAJAYA,13121,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI PEMINTALAN,INDUSTRI PERTENUNAN TEKSTIL
MULTINDO TECHNOLOGY UTAMA,25920,INDUSTRI PENGOLAHAN,INDUSTRI BARANG LOGAM,INDUSTRI BARANG LOGAM LAINNYA DAN JASA PEMBUATAN BARANG LOGAM,JASA INDUSTRI UNTUK BERBAGAI PENGERJAAN KHUSUS LOGAM DAN BARANG DARI LOGAM
MULYA JAYA AYU PRIMA,Not Found,,,,
MUSIKA NADA AUDIO,Not Found,,,,
MUTIARA SUMBER ABADI,Not Found,,,,
NAFRIYA ABADI MOTOR INDRAMAYU,45407,PERDAGANGAN BESAR DAN ECERAN; REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR,PERDAGANGAN,PERDAGANGAN,PERDAGANGAN
NAGATECH NETWORK INDONESIA,Not Found,,,,
NAIKI SEMESTA,Not Found,,,,
NIAGA HANDAL CEMERLANG,Not Found,,,,
NID PRATAMA KARYA,Not Found,,,,
NIKITA MITRA JAYA,Not Found,,,,
NIKKARI GROUP INDONESIA,Not Found,,,,
NITRO PRATAMA INDONESIA,Not Found,,,,
NUR CAHAYA LIMO,Not Found,,,,
NUSA RAYA ENERGI UTAMA,Not Found,,,,
NUSANTARA LANGLANG BUANA,Not Found,,,,
OMEGA TAIYO TEKNOLOGI,28221,INDUSTRI PENGOLAHAN,INDUSTRI MESIN DAN PERLENGKAPAN YTDL,INDUSTRI MESIN UNTUK KEPERLUAN KHUSUS,INDUSTRI MESIN DAN PERKAKAS MESIN UNTUK PENGERJAAN LOGAM
OIMA SMARTINDO INDUSTRY,Not Found,,,,
ORIENT INDO CHEMORI,Not Found,,,,
ORTHOPLUS,Not Found,,,,
OZORA AGRI INDONESIA,Not Found,,,,
PACIFIC MOTOR,Not Found,,,,
PADI HIJAU BUANA,Not Found,,,,
PANATRON MEKATRONIK PASTIMA,Not Found,,,,
PANCA BINTANG CEMERLANG,Not Found,,,,
PANCA BUANA ABADI,22220,INDUSTRI PENGOLAHAN,INDUSTRI KARET,INDUSTRI BARANG DARI PLASTIK,INDUSTRI BARANG DARI PLASTIK UNTUK PENGEMASAN
PANFILA INDOSARI,11051,INDUSTRI PENGOLAHAN,INDUSTRI MINUMAN,INDUSTRI MINUMAN,INDUSTRI AIR KEMASAN DAN AIR MINUM ISI ULANG
PANGKAL MULTIKARYA,Not Found,,,,
PANGKALAN LINTAS DATA,Not Found,,,,
PANORAMA SURYA ANDALAN,Not Found,,,,
PASIFIK INDO PUSPITA,Not Found,,,,
PELANGI TEKNIK PERSADA,Not Found,,,,
PELITA ABADI SEJAHTERA,Not Found,,,,
PENGGUIN BIRU KUNING,Not Found,,,,
PENGOLAHAN LIMBAH INDUSTRI BEKASI,Not Found,,,,
PERDONI,Not Found,,,,
PERKASA PRIMARINDO,23929,INDUSTRI PENGOLAHAN,INDUSTRI BARANG GALIAN BUKAN LOGAM,INDUSTRI BARANG GALIAN BUKAN LOGAM LAINNYA,INDUSTRI BAHAN BANGUNAN DARI TANAH LIAT/KERAMIK
PERMATA ABADI BERSAUDARA,17022,INDUSTRI PENGOLAHAN,INDUSTRI KERTAS DAN BARANG DARI KERTAS,INDUSTRI KERTAS DAN BARANG DARI KERTAS,INDUSTRI KERTAS DAN PAPAN KERTAS BERGELOMBANG DAN WADAH DARI KERTAS DAN PAPAN KERTAS
PERMATA PROFISH INTERNASIONAL,Not Found,,,,
PERTALUBE NUSA JAYA,Not Found,,,,
PERTAMINA TRAINING & CONSULTING,Not Found,,,,
PERWIRATAMA DARMAGUNA,Not Found,,,,
PLANET EXELENCIA PHARMACY,Not Found,,,,
PLANET EXCELENCIA PHARMACY,Not Found,,,,
PLANET EXCELENSIA PHARMACY,Not Found,,,,
PORDJO STEELINDO PERKASA,Not Found,,,,
PRABU PENDAWA MANUNGGAL,Not Found,,,,
PRADASA,20232,INDUSTRI PENGOLAHAN,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA,INDUSTRI BARANG KIMIA LAINNYA,INDUSTRI SABUN DAN DETERJEN
PRADJA NUSA PROPERTINDO,Not Found,,,,
PRATAMA JAYA PERKASA,Not Found,,,,
PRIMA GALVIN SUKSES,Not Found,,,,
PRIMA SOEAKA BUANA,Not Found,,,,
PRIMA VISUALINDO,Not Found,,,,
PRIMACIA GRAHASENTOSA,Not Found,,,,
PRIMANRU JAYA,38302,TREATMENT AIR,PENGUMPULAN,PEMULIHAN MATERIAL,PEMULIHAN MATERIAL
PRIMAPACK MITRA UTAMA,Not Found,,,,
PRIMARASA CITRATAMA,Not Found,,,,
PRIMATAMA KARYA DINAMIKA,Not Found,,,,
PROXIS SAHABAT INDONESIA,63111,INFORMASI DAN KOMUNIKASI,AKTIVITAS JASA INFORMASI,AKTIVITAS PENGOLAHAN DATA,AKTIVITAS PENGOLAHAN DATA
PUNCAK LEMBAH HIJAU,Not Found,,,,
PUNGGAWA INTERMODA,Not Found,,,,
PURI AVIA,Not Found,,,,
PURWA WANGI PUSAKA JAYA,Not Found,,,,
PURWASUKA JAYA GAS,Not Found,,,,
PUSPITA CIA,Not Found,,,,
PUSTEK ENERGI DAN TEKNOLOGI,Not Found,,,,
PUTERA RAJA SEJAHTERA,Not Found,,,,
PUTRA DUA PERKASA,Not Found,,,,
PUTRA JAYA PRATAMA,Not Found,,,,
PUTRA MENARA PERKASA,Not Found,,,,
PUTRI ARSANTI MANDIRI,Not Found,,,,
PW INDONESIA,Not Found,,,,
QUADRAN SOLUSI ENJINERING,Not Found,,,,
RABAT ABADI JAYA,Not Found,,,,
RADIO SUARA ADYASAMUDRA,Not Found,,,,
RAFINDO IRON STEEL,Not Found,,,,
RAFIQA RASYA RIZKY,Not Found,,,,
RANATA AIR NETWORK,Not Found,,,,
RASPARI MEGA STORE,Not Found,,,,
REGAMAS NUSANTARA INDONESIA,Not Found,,,,
REKAN DAYA PERKASA,Not Found,,,,
REKANATA AKBAR JAYA,Not Found,,,,
REVASS UTAMA MEDIKA,Not Found,,,,
REVOLUTEK DANANJAYA MANDIRI,Not Found,,,,
RIGSPEK PERKASA,25910,INDUSTRI PENGOLAHAN,INDUSTRI BARANG LOGAM,INDUSTRI BARANG LOGAM LAINNYA DAN JASA PEMBUATAN BARANG LOGAM,INDUSTRI PENEMPAAN
RISELOKA GLOBAL MANDIRI,Not Found,,,,
RISMAWAN PRATAMA BERSINAR,Not Found,,,,
RIZQULLAH MEDISKA INDONESIA,Not Found,,,,
ROHTO LABORATORIES INDONESIA,22299,INDUSTRI PENGOLAHAN,INDUSTRI KARET,INDUSTRI BARANG DARI PLASTIK,INDUSTRI BARANG DARI PLASTIK LAINNYA
ROMINDO PRIMAVETCOM,Not Found,,,,
RUDOLF CHEMICALS INDONESIA,20118,INDUSTRI PENGOLAHAN,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA,INDUSTRI BAHAN KIMIA,INDUSTRI KIMIA DASAR
RUSLAM CEMPAKAPUTIH JAYA,Not Found,,,,
SABATANI GLOBAL SOLUSINDO,Not Found,,,,
SAFETY SIGN INDONESIA,25999,INDUSTRI PENGOLAHAN,INDUSTRI BARANG LOGAM,INDUSTRI BARANG LOGAM LAINNYA DAN JASA PEMBUATAN BARANG LOGAM,INDUSTRI BARANG LOGAM LAINNYA YTDL
SAHABAT MULTI SARANA,Not Found,,,,
SAHARA BOGATAMA INDONESIA,Not Found,,,,
SAJIRA MAHARDIKA,Not Found,,,,
SAKURA PRIMA JAYA LESTARI,Not Found,,,,
SAMKAM MITRA JAYA,Not Found,,,,
SAMUDERA INSAN TEKNIK,Not Found,,,,
SANJAYATAMA ADI PERDANA,Not Found,,,,
SANPRIMA SENTOSA,Not Found,,,,
SAA SARI TAMA,Not Found,,,,
SARANA KENCANA MULYA,Not Found,,,,
SARANA PERMATA ELEKTRIK,Not Found,,,,
SARANA PRIMA SOLUSI INDONESIA,Not Found,,,,
SARI ALAM SUKABUMI,21021,INDUSTRI PENGOLAHAN,INDUSTRI FARMASI,INDUSTRI FARMASI,INDUSTRI OBAT TRADISIONAL
SARI DAYA PLASINDO,20119,INDUSTRI PENGOLAHAN,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA,INDUSTRI BAHAN KIMIA,INDUSTRI KIMIA DASAR
SARI DUMAI OLEO,20115,INDUSTRI PENGOLAHAN,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA,INDUSTRI BAHAN KIMIA,INDUSTRI KIMIA DASAR
SATRINDO MITRA UTAMA,28210,INDUSTRI PENGOLAHAN,INDUSTRI MESIN DAN PERLENGKAPAN YTDL,INDUSTRI MESIN UNTUK KEPERLUAN KHUSUS,INDUSTRI MESIN PERTANIAN DAN KEHUTANAN
SEITETSU ENGINEERING TECHNOPARTS,,,,,
SEJAHTERA INTI ANUGRAH PERKASA,45407,PERDAGANGAN BESAR DAN ECERAN; REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR,PERDAGANGAN,PERDAGANGAN,PERDAGANGAN
SEJIN JAYA LESTARI,Not Found,,,,
SEKAR ANUGRAH MANDIRI,Not Found,,,,
SEKOLAH SENIMAN PANGAN,Not Found,,,,
SELALU BERMANFAAT SELAMANYA,10392,INDUSTRI PENGOLAHAN,INDUSTRI MAKANAN,INDUSTRI PENGOLAHAN DAN PENGAWETAN BUAH-BUAHAN DAN SAYURAN,INDUSTRI PENGOLAHAN DAN PENGAWETAN LAINNYA BUAH-BUAHAN DAN SAYURAN
SEMBILAN BELAS MULTI USAHA,Not Found,,,,
SEMPANA DERAGAS PRAKARSA,Not Found,,,,
SENDANG REJEKI BINANGKIT,Not Found,,,,
SENTINEL MITRA ADIYAKSA,Not Found,,,,
SENTRAL ELC,Not Found,,,,
SENTRUM AUTOTRANSINDO,Not Found,,,,
SERA MUKTI NIYASA,Not Found,,,,
SERASI AUTORAYA,,,,,
SERAYU TEKNOLOGI INDONESIA,Not Found,,,,
SETIA BUDI HOJAYA,Not Found,,,,
SETIANITA MEGAH MOTOR,Not Found,,,,
SIGAP LINTAS NUSANTARA,Not Found,,,,
SILIWANGI JAYA BAROKAH,Not Found,,,,
SILUET NYOMAN NUARTA,Not Found,,,,
SINAR BAUT ABADI,Not Found,,,,
SINAR BENGAWAN MANDIRI,Not Found,,,,
SINAR BINTANG BUANA,Not Found,,,,
SINAR CIA MANDIRI,Not Found,,,,
SINAR INSPIRASI NEGERI,Not Found,,,,
SINAR KANDANG UTAMA,Not Found,,,,
SINAR MULIA SEJAHTERA,29300,INDUSTRI PENGOLAHAN,INDUSTRI KENDARAAN BERMOTOR,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH
SINAR NIAGA SEJAHTERA,Not Found,,,,
SINAR NIRWANA SARI,Not Found,,,,
SINAR REJEKI LEMBANG,Not Found,,,,
SINAR RUNNERINDO,15202,INDUSTRI PENGOLAHAN,INDUSTRI KULIT,INDUSTRI ALAS KAKI,INDUSTRI ALAS KAKI
SINERGI CARGO INDONESIA,Not Found,,,,
SINERGI INDO ATSIRI,Not Found,,,,
SINERGI UTAMA PERSADA,27900,INDUSTRI PENGOLAHAN,INDUSTRI PERALATAN LISTRIK,INDUSTRI PERALATAN LISTRIK LAINNYA,INDUSTRI PERALATAN LISTRIK LAINNYA
SINGA TEKNIK INDONESIA,Not Found,,,,
SINGGASANA WITRA SURYAMAS,Not Found,,,,
SINKONA INDONESIA LESTARI,21011,INDUSTRI PENGOLAHAN,INDUSTRI FARMASI,INDUSTRI FARMASI,INDUSTRI FARMASI DAN PRODUK OBAT KIMIA
SLS LAHARINDO,Not Found,,,,
SMART TEKNIK UTAMA,Not Found,,,,
SNP INDONESIA,Not Found,,,,
SOLSTICE ENERGY SERVICES,Not Found,,,,
SOLUSI PRASARANA MANDIRI,Not Found,,,,
SOLUSI PRIMA CARAKA,Not Found,,,,
SOLUSINDO GUNADAYA INDONESIA,Not Found,,,,
SOMAR INDO FACTORY,,,,,
SRI INDAH LABETAMA,13991,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI TEKSTIL LAINNYA,INDUSTRI TEKSTIL LAINNYA YTDL
STARMEDIA INTISARANA SEJATI,Not Found,,,,
SUGIHARTONO AGRA MAKMUR,Not Found,,,,
SUKA GADING JAYA SEMESTA,Not Found,,,,
SUKSES ABADI ENGINEERING,25920,INDUSTRI PENGOLAHAN,INDUSTRI BARANG LOGAM,INDUSTRI BARANG LOGAM LAINNYA DAN JASA PEMBUATAN BARANG LOGAM,JASA INDUSTRI UNTUK BERBAGAI PENGERJAAN KHUSUS LOGAM DAN BARANG DARI LOGAM
SUKSES JAYAMAS MANDIRI,Not Found,,,,
SUMBER ALFARIA TRIJAYA TBK,Not Found,,,,
SUMBER CEMERLANG MANDIRI,Not Found,,,,
SUMBER GUNA NUSANTARA,Not Found,,,,
SUMBER JAYA TRADING INDONESIA,Not Found,,,,
SUMBER KEMAS INDONESIA,Not Found,,,,
SUMBER MANNA BAHARI,Not Found,,,,
SUMBER REJEKI GADING,Not Found,,,,
SUMBER SARANA SUKSES BERSAMA,,,,,
SUN AUTO ACCESORIES,13921,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI TEKSTIL LAINNYA,INDUSTRI PEMBUATAN BARANG TEKSTIL
SUN STAR PRIMA MOTOR,45201,PERDAGANGAN BESAR DAN ECERAN; REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR,PERDAGANGAN,REPARASI DAN PERAWATAN MOBIL,REPARASI DAN PERAWATAN MOBIL
SUNLON KAPASINDO,17091,INDUSTRI PENGOLAHAN,INDUSTRI KERTAS DAN BARANG DARI KERTAS,INDUSTRI KERTAS DAN BARANG DARI KERTAS,INDUSTRI BARANG DARI KERTAS DAN PAPAN KERTAS LAINNYA
SUNROSE INDONESIA,13929,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI TEKSTIL LAINNYA,INDUSTRI PEMBUATAN BARANG TEKSTIL
SUNSHINE GLOBAL,13133,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI PEMINTALAN,INDUSTRI PENYEMPURNAAN TEKSTIL
SUPERBTEX,13112,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI PEMINTALAN,INDUSTRI PERSIAPAN DAN PEMINTALAN SERAT TEKSTIL
SUPRA PRIMATAMA NUSANTARA,Not Found,,,,
SUPRANUSA NIAGAJAYA,,,,,
SURIS WAHANACIA,Not Found,,,,
SURYA AGUNG PUTRA JAYA,Not Found,,,,
SURYA ANDALAN SEJAHTERA,14111,INDUSTRI PENGOLAHAN,INDUSTRI PAKAIAN JADI,INDUSTRI PAKAIAN JADI DAN PERLENGKAPANNYA,INDUSTRI PAKAIAN JADI (BUKAN PENJAHITAN DAN PEMBUATAN PAKAIAN)
SURYA CUCI MOBIL,Not Found,,,,
SURYA MAKMUR JAYA,Not Found,,,,
SURYA MENTARI GLOBAL,Not Found,,,,
SURYACIA SWADAYA,Not Found,,,,
SWARA SANGKAR EMAS,Not Found,,,,
SWASTI MAKMUR SEJAHTERA,22220,INDUSTRI PENGOLAHAN,INDUSTRI KARET,INDUSTRI BARANG DARI PLASTIK,INDUSTRI BARANG DARI PLASTIK UNTUK PENGEMASAN
SWISSTEX NARATAMA INDONESIA,Not Found,,,,
SYAPRIL JANIZAR,Not Found,,,,
SYMMETRY CONTRACTING INDONESIA,Not Found,,,,
TAKINDO MUTUAL,Not Found,,,,
TANI MURNI INDONESIA,Not Found,,,,
TANJAYA SUKSES ABADI,Not Found,,,,
TATA GRAHA UTAMA,Not Found,,,,
TATA TRANS INDOTAMA,Not Found,,,,
TAWADA HEALTHCARE,Not Found,,,,
TEGAR PRIMAJAYA,Not Found,,,,
TEGAR PRIMANUSANTARA,13921,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI TEKSTIL LAINNYA,INDUSTRI PEMBUATAN BARANG TEKSTIL
TEHNOTRI LINTAS PERKASA,14111,INDUSTRI PENGOLAHAN,INDUSTRI PAKAIAN JADI,INDUSTRI PAKAIAN JADI DAN PERLENGKAPANNYA,INDUSTRI PAKAIAN JADI (BUKAN PENJAHITAN DAN PEMBUATAN PAKAIAN)
TELAGA SILET ABADI,Not Found,,,,
TELUBUNG JAYA ABADI,Not Found,,,,
TETAP SETIA JAYA,Not Found,,,,
THURSINA MEDIANA UTAMA,18111,INDUSTRI PENGOLAHAN,INDUSTRI PENCETAKAN DAN REPRODUKSI MEDIA REKAMAN,INDUSTRI PENCETAKAN DAN KEGIATAN YBDI,INDUSTRI PENCETAKAN
TIARA UTAMA IZZATI,Not Found,,,,
TIGA RODA RENTALINDO,Not Found,,,,
TIGA SEKAWAN SERASI,Not Found,,,,
TINELO BERKAH ABADI,Not Found,,,,
TINKAR MAS SUKSES,Not Found,,,,
TIRAI PELANGI NUSANTARA,13921,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI TEKSTIL LAINNYA,INDUSTRI PEMBUATAN BARANG TEKSTIL
TIRTA MAS PERKASA,11051,INDUSTRI PENGOLAHAN,INDUSTRI MINUMAN,INDUSTRI MINUMAN,INDUSTRI AIR KEMASAN DAN AIR MINUM ISI ULANG
TIRTA SIGMA ENGINEERING,Not Found,,,,
TIRTA SUMBER MAKMUR,Not Found,,,,
TITIAN ANUGERAHAGUNG,Not Found,,,,
TOMO FOOD INDUSTRI,10710,INDUSTRI PENGOLAHAN,INDUSTRI MAKANAN,INDUSTRI MAKANAN LAINNYA,INDUSTRI PRODUK ROTI DAN KUE
TONAJAYA PRIMA METALINDO,Not Found,,,,
TOP TRILAND LABEL,18111,INDUSTRI PENGOLAHAN,INDUSTRI PENCETAKAN DAN REPRODUKSI MEDIA REKAMAN,INDUSTRI PENCETAKAN DAN KEGIATAN YBDI,INDUSTRI PENCETAKAN
TRADISI UNTUK SEMESTA,Not Found,,,,
TRANS GEO INDONESIA,Not Found,,,,
TRENGGINAS UNGGUL ABADI,Not Found,,,,
